sap_id,streetlight_model,streetlight_type,streetlight_wattage,streetlight_voltage,lng,lat,location_description
SS-020123-002,COBRA,IND,165,120,-117.2413932,32.89147112,GENESEE AV S/O TORREY PINES RD N 295' 1W
SS-020130-004,COBRA,IND,165,120,-117.242493,32.8902203,TORREY PINES RD N N/O NORTH POINT DR 518' 1E
SS-020130-003,COBRA,IND,165,120,-117.2417473,32.89063898,TORREY PINES RD N N/O NORTH POINT DR 272' 1W
SX-003318-002,COBRA,IND,165,120,-117.2417267,32.89828272,AI 10667 NORTH TORREY PINES RD
,COBRA,IND,165,120,-117.2421618,32.89797776,CS N TORREY PINES RD @ JOHN J HOPKINS DR SW 
SX-003367-005,COBRA,IND,165,120,-117.2402623,32.89154479,GENESEE AV @ TORREY PINES RD SE
SX-017868-001,COBRA,IND,85,120,-117.2454297,32.87222297,AZUL ST @ LA JOLLA SHORES DR NE
SX-003479-001,COBRA,IND,85,120,-117.2457045,32.87182336,LA JOLLA SHORES N/O AZUL ST 300' E/S
SX-003511-002,COBRA,IND,165,120,-117.2338006,32.86849024,MORNING WY @ VILLA L J DR SW
SX-003511-001,COBRA,IND,165,120,-117.2335281,32.86872048,MORNING WY @ VILLA L J DR E/S
SS-027974-001,COBRA,IND,85,120,-117.2336229,32.86912154,VILLA LA JOLLA DR N/O MORNING WY 160'
SS-027793-003,COBRA,LPS,180,120,-117.2333616,32.86373506,VIA MALLORCA S/O VILLA L J DR 375'
SS-012134-002,COBRA,IND,85,120,-117.2367241,32.86597066,GILMAN DR N/O VILLA L J DR 661' E/S
SS-027975-003,COBRA,IND,165,120,-117.2334698,32.86570615,VILLA LA JOLLA DR N/O VIA MALLORCA 300' E/S
SS-019972-009,COBRA,IND,165,120,-117.232676,32.86756337,NOBEL DR W/O LA JOLLA VILLAGE SQUARE DR 345' S/S
SS-019972-005,COBRA,IND,85,120,-117.2311203,32.86785674,L J VLG SQUARE DR @ VILLA L J DR SEE
SS-019972-006,COBRA,IND,165,120,-117.2305859,32.8679512,I-5 @ NOELL W/S
SX-003516-005,COBRA,IND,165,120,-117.2250098,32.86825491,LEBON DR @ NOBEL DR SWS
SS-019965-001,COBRA,IND,165,120,-117.2236166,32.86830011,NOBEL DR E/O LEBON DR 325' S/S
SX-003516-003,COBRA,IND,165,120,-117.2250533,32.86859995,LEBON DR @ NOBEL DR NWW
SS-012019-006,COBRA,IND,85,240,-117.2219206,32.88438286,GENESEE AV @ SCRIPPS HOSP SEE
SS-012019-004,COBRA,IND,85,240,-117.2220649,32.88477431,GENESEE AV @ SCRIPPS HOSP NEN
SS-012019-007,COBRA,IND,85,240,-117.2223868,32.88422441,GENESEE AV @ SCRIPPS HOSP SWS
SS-028560-001,COBRA,IND,85,240,-117.2153073,32.88548309,WESTERRA CT W/O TOWNE CTR DR 135' N/S
SS-028560-003,COBRA,IND,85,240,-117.2155492,32.88532794,WESTERRA CT W/O TOWNE CTR DR 230' N/S
SS-028560-005,COBRA,IND,85,240,-117.2159015,32.88517378,WESTERRA CT W/O TOWNE CTR DR 350' N/S
